"SYMBOL 
","ISSUE PRICE 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30D   %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"SGBJUN30","-","11,005.00","11,500.00","11,005.00","11,049.50","11,439.99","-","390.49","3.53","94","0.11","11,761.87","7,600.00",10.82,"23-Aug-2024","41.44","25-Jul-2025"
"SGBJUL27","-","10,500.00","10,695.14","10,488.00","10,345.00","10,695.14","-","350.14","3.38","26","0.03","11,202.00","7,400.00",4.07,"23-Aug-2024","39.05","25-Jul-2025"
"SGBNOV26","3,133.00","10,352.24","10,698.22","10,352.24","10,350.00","10,698.22","-","348.22","3.36","17","0.02","10,990.00","7,402.00",3.51,"23-Aug-2024","39.86","24-Jul-2025"
"SGBOCT25","2,906.00","10,390.86","10,442.82","10,390.86","10,200.00","10,442.82","-","242.82","2.38","12","0.01","10,493.00","7,389.00",1.49,"23-Aug-2024","38.02","25-Jul-2025"
"SGBDEC2513","2,816.00","10,403.00","10,507.28","10,403.00","10,300.00","10,507.28","-","207.28","2.01","14","0.01","10,507.28","7,400.00",3.31,"23-Aug-2024","35.53","23-Jul-2025"
"SGBDE30III","-","11,145.00","11,199.99","10,901.00","10,993.56","11,199.99","-","206.43","1.88","274","0.30","11,200.00","7,800.00",9.39,"23-Aug-2024","39.25","25-Jul-2025"
"SGBJ28VIII","-","10,399.00","10,500.00","10,399.00","10,301.00","10,492.20","-","191.20","1.86","13","0.01","10,500.00","7,420.00",4.89,"23-Aug-2024","36.98","25-Jul-2025"
"SGBMAR31IV","-","11,250.00","11,457.99","11,210.01","11,249.58","11,457.99","-","208.41","1.85","158","0.18","11,698.99","7,605.55",11.6,"23-Aug-2024","43.05","25-Jul-2025"
"SGBJUN31I","-","11,250.00","11,435.00","11,250.00","11,237.64","11,435.00","-","197.36","1.76","481","0.54","11,435.00","7,811.00",10.91,"23-Aug-2024","43.08","25-Jul-2025"
"SGBDEC2512","2,840.00","10,405.02","10,499.00","10,405.02","10,302.00","10,475.00","-","173.00","1.68","18","0.02","10,499.00","7,303.11",3.54,"-","-","23-Jul-2025"
"SGBJUN29II","-","10,480.00","10,585.00","10,426.00","10,427.50","10,585.00","-","157.50","1.51","117","0.12","10,600.00","7,453.00",5.33,"23-Aug-2024","38.52","25-Jul-2025"
"SGBOCT27","-","10,596.04","10,749.99","10,596.04","10,543.33","10,699.95","-","156.62","1.49","15","0.02","10,749.99","7,350.02",6.51,"23-Aug-2024","40.54","24-Jul-2025"
"SGBDE31III","-","11,615.40","11,615.40","11,350.00","11,332.10","11,498.00","-","165.90","1.46","956","1.10","11,751.00","7,816.00",11.16,"23-Aug-2024","42.92","25-Jul-2025"
"SGBFEB28IX","-","10,650.00","10,650.00","10,649.99","10,500.00","10,649.99","-","149.99","1.43","11","0.01","10,650.00","7,405.00",6.33,"23-Aug-2024","42.11","25-Jul-2025"
"SGBJUL29IV","-","10,445.00","10,632.90","10,445.00","10,405.00","10,550.00","-","145.00","1.39","103","0.11","10,632.90","7,476.11",5.2,"23-Aug-2024","38.27","25-Jul-2025"
"SGBJU29III","-","10,336.58","10,549.00","10,336.58","10,436.58","10,549.00","-","112.42","1.08","88","0.09","10,549.00","7,460.00",5.35,"23-Aug-2024","38.52","25-Jul-2025"
"SGBN28VIII","-","10,435.00","10,548.00","10,435.00","10,424.36","10,535.00","-","110.64","1.06","124","0.13","10,655.84","7,421.00",5.04,"23-Aug-2024","38.50","25-Jul-2025"
"SGBMAR28X","-","10,489.98","10,598.00","10,469.00","10,489.98","10,597.96","-","107.98","1.03","16","0.02","10,598.00","7,450.01",5.83,"23-Aug-2024","39.80","25-Jul-2025"
"SGBMAR30X","-","10,998.00","11,000.00","10,920.00","10,850.00","10,960.00","-","110.00","1.01","21","0.02","11,000.00","7,575.00",9.24,"23-Aug-2024","39.10","25-Jul-2025"
"SGBNOV258","2,911.00","10,352.49","10,440.60","10,352.49","10,302.04","10,403.74","-","101.70","0.99","28","0.03","10,440.60","7,519.00",3.02,"22-Aug-2024","39.22","24-Jul-2025"
"SGBMAY26","3,064.00","10,389.00","10,490.00","10,389.00","10,389.00","10,490.00","-","101.00","0.97","11","0.01","10,800.00","7,350.01",4.94,"22-Aug-2024","39.45","25-Jul-2025"
"SGBMR29XII","-","10,450.00","10,550.00","10,410.00","10,450.00","10,550.00","-","100.00","0.96","178","0.19","10,550.00","7,485.00",5.41,"23-Aug-2024","39.03","25-Jul-2025"
"SGBJAN27","3,164.00","10,410.00","10,500.00","10,410.00","10,400.00","10,500.00","-","100.00","0.96","8","0.01","10,500.00","7,426.01",4.18,"23-Aug-2024","39.77","24-Jul-2025"
"SGBAUG28V","-","10,432.00","10,569.00","10,430.00","10,428.32","10,523.00","-","94.68","0.91","951","1.00","10,569.00","7,344.00",4.74,"23-Aug-2024","37.25","25-Jul-2025"
"SGBNOV25VI","2,895.00","10,325.00","10,418.00","10,325.00","10,325.00","10,418.00","-","93.00","0.90","2","-","10,418.00","7,550.00",3.74,"22-Aug-2024","38.59","24-Jul-2025"
"SGBAUG29V","-","10,639.00","10,690.00","10,500.00","10,555.00","10,650.00","-","95.00","0.90","188","0.20","10,858.26","7,421.00",6.37,"23-Aug-2024","38.83","25-Jul-2025"
"SGBSEP28VI","-","10,474.34","10,569.99","10,470.00","10,474.34","10,564.00","-","89.66","0.86","483","0.51","10,569.99","7,500.00",5.64,"23-Aug-2024","37.85","25-Jul-2025"
"SGBOC28VII","-","10,494.99","10,522.00","10,480.00","10,445.86","10,522.00","-","76.14","0.73","167","0.18","10,522.00","7,463.20",5.14,"23-Aug-2024","38.98","25-Jul-2025"
"SGBOCT25IV","2,937.00","10,390.00","10,459.80","10,390.00","10,386.24","10,459.80","-","73.56","0.71","46","0.05","10,499.00","7,203.01",5.02,"23-Aug-2024","39.60","25-Jul-2025"
"SGBSEP27","-","10,546.80","10,705.78","10,411.02","10,340.00","10,411.02","-","71.02","0.69","31","0.03","10,705.78","7,420.00",3.5,"23-Aug-2024","38.79","25-Jul-2025"
"SGBMAY28","-","10,450.00","10,570.00","10,435.02","10,429.16","10,500.00","-","70.84","0.68","445","0.47","10,570.00","7,450.00",5.39,"23-Aug-2024","38.70","25-Jul-2025"
"SGBAUG27","-","10,601.10","10,990.00","10,600.00","10,815.96","10,890.00","-","74.04","0.68","366","0.39","11,200.00","7,525.00",9.2,"23-Aug-2024","40.47","25-Jul-2025"
"SGBJUL28IV","-","10,366.00","10,500.00","10,366.00","10,420.09","10,490.00","-","69.91","0.67","605","0.63","10,500.00","7,462.00",5.36,"23-Aug-2024","38.88","25-Jul-2025"
"SGBNV29VII","-","10,510.00","10,647.99","10,510.00","10,581.33","10,647.95","-","66.62","0.63","187","0.20","10,699.00","7,480.00",6.88,"23-Aug-2024","40.94","25-Jul-2025"
"SGBOCT26","3,096.00","10,399.00","10,399.00","10,399.00","10,336.06","10,399.00","-","62.94","0.61","5","0.01","10,444.00","7,321.01",4.51,"22-Aug-2024","39.20","25-Jul-2025"
"SGBMAY29I","-","10,388.20","10,612.00","10,388.20","10,450.49","10,514.00","-","63.51","0.61","256","0.27","10,612.00","7,450.00",5.37,"23-Aug-2024","38.49","25-Jul-2025"
"SGBJAN29IX","-","10,488.00","10,549.99","10,450.00","10,438.71","10,500.00","-","61.29","0.59","139","0.15","10,549.99","7,470.10",5.47,"23-Aug-2024","38.65","25-Jul-2025"
"SGBDC27VII","-","10,442.00","10,600.00","10,442.00","10,441.10","10,502.00","-","60.90","0.58","17","0.02","10,650.00","7,452.00",5.12,"23-Aug-2024","37.75","25-Jul-2025"
"SGBAUG30","-","11,465.00","11,597.99","11,460.00","11,451.21","11,511.00","-","59.79","0.52","72","0.08","11,870.00","7,616.00",13.96,"23-Aug-2024","45.15","25-Jul-2025"
"SGBOCT25V","2,921.00","10,388.99","10,440.00","10,380.99","10,387.66","10,440.00","-","52.34","0.50","13","0.01","10,440.00","7,303.01",4.14,"21-Aug-2024","41.32","25-Jul-2025"
"SGBJUN28","-","10,448.01","10,500.00","10,426.20","10,447.99","10,500.00","-","52.01","0.50","577","0.61","10,500.00","7,471.00",5.64,"23-Aug-2024","39.33","25-Jul-2025"
"SGBJAN26","2,831.00","10,438.00","10,438.00","10,438.00","10,388.00","10,438.00","-","50.00","0.48","7","0.01","11,300.00","7,500.00",4.3,"23-Aug-2024","34.93","22-Jul-2025"
"SGBD29VIII","-","10,787.00","10,787.00","10,601.00","10,653.00","10,701.00","-","48.00","0.45","258","0.28","11,500.00","7,501.00",7.63,"23-Aug-2024","40.41","25-Jul-2025"
